卫星对,开始时间,结束时间
Satellite113-Satellite131,6 Jun 2025 20:17:37.640,6 Jun 2025 20:47:34.672,1797.032
Satellite113-Satellite131,6 Jun 2025 21:15:38.197,6 Jun 2025 21:45:35.230,1797.033
Satellite113-Satellite131,6 Jun 2025 22:13:38.748,6 Jun 2025 22:43:35.783,1797.035
Satellite113-Satellite131,6 Jun 2025 23:11:39.304,6 Jun 2025 23:41:36.338,1797.034
Satellite113-Satellite131,7 Jun 2025 00:09:39.862,7 Jun 2025 00:39:36.894,1797.032
Satellite113-Satellite131,7 Jun 2025 01:07:40.419,7 Jun 2025 01:37:37.452,1797.033
Satellite113-Satellite131,7 Jun 2025 02:05:40.970,7 Jun 2025 02:35:38.004,1797.034
Satellite113-Satellite131,7 Jun 2025 03:03:41.526,7 Jun 2025 03:33:38.560,1797.034
Satellite113-Satellite132,6 Jun 2025 04:00:00.000,6 Jun 2025 04:11:32.931,692.931
Satellite113-Satellite132,6 Jun 2025 04:40:00.861,6 Jun 2025 05:09:33.491,1772.63
Satellite113-Satellite132,6 Jun 2025 05:38:01.416,6 Jun 2025 06:07:34.046,1772.63
Satellite113-Satellite132,6 Jun 2025 06:36:01.972,6 Jun 2025 07:05:34.602,1772.63
Satellite113-Satellite132,6 Jun 2025 07:34:02.527,6 Jun 2025 08:03:35.157,1772.63
Satellite113-Satellite132,6 Jun 2025 08:32:03.083,6 Jun 2025 09:01:35.713,1772.63
Satellite113-Satellite132,6 Jun 2025 09:30:03.638,6 Jun 2025 09:59:36.268,1772.63
Satellite113-Satellite132,6 Jun 2025 10:28:04.194,6 Jun 2025 10:57:36.824,1772.63
Satellite113-Satellite132,6 Jun 2025 11:26:04.749,6 Jun 2025 11:55:37.379,1772.63
Satellite113-Satellite132,6 Jun 2025 12:24:05.305,6 Jun 2025 12:53:37.935,1772.63
Satellite113-Satellite132,6 Jun 2025 13:22:05.860,6 Jun 2025 13:51:38.490,1772.63
Satellite113-Satellite132,6 Jun 2025 14:20:06.415,6 Jun 2025 14:49:39.046,1772.631
Satellite113-Satellite132,6 Jun 2025 15:18:06.971,6 Jun 2025 15:47:39.601,1772.63
Satellite113-Satellite132,6 Jun 2025 16:16:07.526,6 Jun 2025 16:45:40.157,1772.631
Satellite113-Satellite132,6 Jun 2025 17:14:08.082,6 Jun 2025 17:43:40.712,1772.63
Satellite113-Satellite132,6 Jun 2025 18:12:08.637,6 Jun 2025 18:41:41.267,1772.63
Satellite113-Satellite132,6 Jun 2025 19:10:09.193,6 Jun 2025 19:39:41.823,1772.63
Satellite113-Satellite132,6 Jun 2025 20:08:09.748,6 Jun 2025 20:37:42.378,1772.63
Satellite113-Satellite132,6 Jun 2025 21:06:10.304,6 Jun 2025 21:35:42.934,1772.63
Satellite113-Satellite132,6 Jun 2025 22:04:10.859,6 Jun 2025 22:33:43.489,1772.63
Satellite113-Satellite132,6 Jun 2025 23:02:11.415,6 Jun 2025 23:31:44.045,1772.63
Satellite113-Satellite132,7 Jun 2025 00:00:11.970,7 Jun 2025 00:29:44.600,1772.63
Satellite113-Satellite132,7 Jun 2025 00:58:12.526,7 Jun 2025 01:27:45.156,1772.63
Satellite113-Satellite132,7 Jun 2025 01:56:13.081,7 Jun 2025 02:25:45.711,1772.63
Satellite113-Satellite132,7 Jun 2025 02:54:13.637,7 Jun 2025 03:23:46.267,1772.63
Satellite113-Satellite132,7 Jun 2025 03:52:14.192,7 Jun 2025 04:00:00.000,465.808
Satellite113-Satellite133,6 Jun 2025 04:35:38.355,6 Jun 2025 04:54:35.812,1137.457
Satellite113-Satellite133,6 Jun 2025 05:33:38.911,6 Jun 2025 05:52:36.370,1137.459
Satellite113-Satellite133,6 Jun 2025 06:31:39.462,6 Jun 2025 06:50:36.921,1137.459
Satellite113-Satellite133,6 Jun 2025 07:29:40.022,6 Jun 2025 07:48:37.478,1137.456
Satellite113-Satellite133,6 Jun 2025 08:27:40.578,6 Jun 2025 08:46:38.037,1137.459
Satellite113-Satellite133,6 Jun 2025 09:25:41.129,6 Jun 2025 09:44:38.588,1137.459
Satellite113-Satellite133,6 Jun 2025 10:23:41.689,6 Jun 2025 10:42:39.146,1137.457
Satellite113-Satellite133,6 Jun 2025 11:21:42.240,6 Jun 2025 11:40:39.703,1137.463
Satellite113-Satellite133,6 Jun 2025 12:19:42.795,6 Jun 2025 12:38:40.254,1137.459
Satellite113-Satellite133,6 Jun 2025 13:17:43.355,6 Jun 2025 13:36:40.811,1137.456
Satellite113-Satellite133,6 Jun 2025 14:15:43.906,6 Jun 2025 14:34:41.370,1137.464
Satellite113-Satellite133,6 Jun 2025 15:13:44.461,6 Jun 2025 15:32:41.921,1137.46
Satellite113-Satellite133,6 Jun 2025 16:11:45.022,6 Jun 2025 16:30:42.476,1137.454
Satellite113-Satellite133,6 Jun 2025 17:09:45.573,6 Jun 2025 17:28:43.032,1137.459
Satellite113-Satellite133,6 Jun 2025 18:07:46.133,6 Jun 2025 18:26:43.591,1137.458
Satellite113-Satellite133,6 Jun 2025 19:05:46.683,6 Jun 2025 19:24:44.143,1137.46
Satellite113-Satellite133,6 Jun 2025 20:03:47.244,6 Jun 2025 20:22:44.699,1137.455
Satellite113-Satellite133,6 Jun 2025 21:01:47.799,6 Jun 2025 21:20:45.258,1137.459
Satellite113-Satellite133,6 Jun 2025 21:59:48.350,6 Jun 2025 22:18:45.809,1137.459
Satellite113-Satellite133,6 Jun 2025 22:57:48.910,6 Jun 2025 23:16:46.366,1137.456
Satellite113-Satellite133,6 Jun 2025 23:55:49.461,7 Jun 2025 00:14:46.925,1137.464
Satellite113-Satellite133,7 Jun 2025 00:53:50.016,7 Jun 2025 01:12:47.475,1137.459
Satellite113-Satellite133,7 Jun 2025 01:51:50.576,7 Jun 2025 02:10:48.036,1137.46
Satellite113-Satellite133,7 Jun 2025 02:49:51.127,7 Jun 2025 03:08:48.591,1137.464
Satellite113-Satellite133,7 Jun 2025 03:47:51.683,7 Jun 2025 04:00:00.000,728.317
Satellite113-Satellite136,6 Jun 2025 04:06:12.789,6 Jun 2025 04:26:00.824,1188.035
Satellite113-Satellite136,6 Jun 2025 05:04:13.345,6 Jun 2025 05:24:01.379,1188.034
Satellite113-Satellite136,6 Jun 2025 06:02:13.899,6 Jun 2025 06:22:01.935,1188.036
Satellite113-Satellite136,6 Jun 2025 07:00:14.454,6 Jun 2025 07:20:02.486,1188.032
Satellite113-Satellite136,6 Jun 2025 07:58:15.009,6 Jun 2025 08:18:03.045,1188.036
Satellite113-Satellite136,6 Jun 2025 08:56:15.565,6 Jun 2025 09:16:03.596,1188.031
Satellite113-Satellite136,6 Jun 2025 09:54:16.123,6 Jun 2025 10:14:04.156,1188.033
Satellite113-Satellite136,6 Jun 2025 10:52:16.676,6 Jun 2025 11:12:04.712,1188.036
Satellite113-Satellite136,6 Jun 2025 11:50:17.234,6 Jun 2025 12:10:05.267,1188.033
Satellite113-Satellite136,6 Jun 2025 12:48:17.787,6 Jun 2025 13:08:05.820,1188.033
Satellite113-Satellite136,6 Jun 2025 13:46:18.342,6 Jun 2025 14:06:06.378,1188.036
Satellite113-Satellite136,6 Jun 2025 14:44:18.898,6 Jun 2025 15:04:06.929,1188.031
Satellite113-Satellite136,6 Jun 2025 15:42:19.457,6 Jun 2025 16:02:07.489,1188.032
Satellite113-Satellite136,6 Jun 2025 16:40:20.009,6 Jun 2025 17:00:08.045,1188.036
Satellite113-Satellite136,6 Jun 2025 17:38:20.565,6 Jun 2025 17:58:08.600,1188.035
Satellite113-Satellite136,6 Jun 2025 18:36:21.120,6 Jun 2025 18:56:09.155,1188.035
Satellite113-Satellite136,6 Jun 2025 19:34:21.675,6 Jun 2025 19:54:09.711,1188.036
Satellite113-Satellite136,6 Jun 2025 20:32:22.231,6 Jun 2025 20:52:10.266,1188.035
Satellite113-Satellite136,6 Jun 2025 21:30:22.791,6 Jun 2025 21:50:10.817,1188.026
Satellite113-Satellite136,6 Jun 2025 22:28:23.344,6 Jun 2025 22:48:11.378,1188.034
Satellite113-Satellite136,6 Jun 2025 23:26:23.898,6 Jun 2025 23:46:11.933,1188.035
Satellite113-Satellite136,7 Jun 2025 00:24:24.455,7 Jun 2025 00:44:12.489,1188.034
Satellite113-Satellite136,7 Jun 2025 01:22:25.008,7 Jun 2025 01:42:13.041,1188.033
Satellite113-Satellite136,7 Jun 2025 02:20:25.563,7 Jun 2025 02:40:13.599,1188.036
Satellite113-Satellite136,7 Jun 2025 03:18:26.119,7 Jun 2025 03:38:14.150,1188.031
Satellite113-Satellite141,6 Jun 2025 04:00:00.000,6 Jun 2025 04:15:47.892,947.892
Satellite113-Satellite141,6 Jun 2025 04:51:52.723,6 Jun 2025 05:13:48.449,1315.726
Satellite113-Satellite141,6 Jun 2025 05:49:53.278,6 Jun 2025 06:11:49.005,1315.727
Satellite113-Satellite141,6 Jun 2025 06:47:53.834,6 Jun 2025 07:09:49.560,1315.726
Satellite113-Satellite141,6 Jun 2025 07:45:54.389,6 Jun 2025 08:07:50.116,1315.727
Satellite113-Satellite141,6 Jun 2025 08:43:54.945,6 Jun 2025 09:05:50.671,1315.726
Satellite113-Satellite141,6 Jun 2025 09:41:55.501,6 Jun 2025 10:03:51.227,1315.726
Satellite113-Satellite141,6 Jun 2025 10:39:56.057,6 Jun 2025 11:01:51.782,1315.725
Satellite113-Satellite141,6 Jun 2025 11:37:56.612,6 Jun 2025 11:59:52.338,1315.726
Satellite113-Satellite141,6 Jun 2025 12:35:57.168,6 Jun 2025 12:57:52.893,1315.725
Satellite113-Satellite141,6 Jun 2025 13:33:57.723,6 Jun 2025 13:55:53.449,1315.726
Satellite113-Satellite141,6 Jun 2025 14:31:58.279,6 Jun 2025 14:53:54.004,1315.725
Satellite113-Satellite141,6 Jun 2025 15:29:58.834,6 Jun 2025 15:51:54.560,1315.726
Satellite113-Satellite141,6 Jun 2025 16:27:59.390,6 Jun 2025 16:49:55.115,1315.725
Satellite113-Satellite141,6 Jun 2025 17:25:59.945,6 Jun 2025 17:47:55.671,1315.726
Satellite113-Satellite141,6 Jun 2025 18:24:00.501,6 Jun 2025 18:45:56.226,1315.725
Satellite113-Satellite141,6 Jun 2025 19:22:01.056,6 Jun 2025 19:43:56.782,1315.726
Satellite113-Satellite141,6 Jun 2025 20:20:01.612,6 Jun 2025 20:41:57.337,1315.725
Satellite113-Satellite141,6 Jun 2025 21:18:02.167,6 Jun 2025 21:39:57.893,1315.726
Satellite113-Satellite141,6 Jun 2025 22:16:02.723,6 Jun 2025 22:37:58.448,1315.725
Satellite113-Satellite141,6 Jun 2025 23:14:03.278,6 Jun 2025 23:35:59.004,1315.726
Satellite113-Satellite141,7 Jun 2025 00:12:03.834,7 Jun 2025 00:33:59.559,1315.725
Satellite113-Satellite141,7 Jun 2025 01:10:04.389,7 Jun 2025 01:32:00.115,1315.726
Satellite113-Satellite141,7 Jun 2025 02:08:04.945,7 Jun 2025 02:30:00.670,1315.725
Satellite113-Satellite141,7 Jun 2025 03:06:05.500,7 Jun 2025 03:28:01.225,1315.725
Satellite113-Satellite142,6 Jun 2025 04:00:00.000,6 Jun 2025 04:04:12.797,252.797
Satellite113-Satellite142,6 Jun 2025 04:44:07.634,6 Jun 2025 05:02:13.356,1085.722
Satellite113-Satellite142,6 Jun 2025 05:42:08.187,6 Jun 2025 06:00:13.911,1085.724
Satellite113-Satellite142,6 Jun 2025 06:40:08.743,6 Jun 2025 06:58:14.467,1085.724
Satellite113-Satellite142,6 Jun 2025 07:38:09.302,6 Jun 2025 07:56:15.022,1085.72
Satellite113-Satellite142,6 Jun 2025 08:36:09.858,6 Jun 2025 08:54:15.578,1085.72
Satellite113-Satellite142,6 Jun 2025 09:34:10.414,6 Jun 2025 09:52:16.128,1085.714
Satellite113-Satellite142,6 Jun 2025 10:32:10.969,6 Jun 2025 10:50:16.686,1085.717
Satellite113-Satellite142,6 Jun 2025 11:30:11.520,6 Jun 2025 11:48:17.241,1085.721
Satellite113-Satellite142,6 Jun 2025 12:28:12.076,6 Jun 2025 12:46:17.799,1085.723
Satellite113-Satellite142,6 Jun 2025 13:26:12.631,6 Jun 2025 13:44:18.350,1085.719
Satellite113-Satellite142,6 Jun 2025 14:24:13.186,6 Jun 2025 14:42:18.909,1085.723
Satellite113-Satellite142,6 Jun 2025 15:22:13.746,6 Jun 2025 15:40:19.466,1085.72
Satellite113-Satellite142,6 Jun 2025 16:20:14.297,6 Jun 2025 16:38:20.021,1085.724
Satellite113-Satellite142,6 Jun 2025 17:18:14.856,6 Jun 2025 17:36:20.577,1085.721
Satellite113-Satellite142,6 Jun 2025 18:16:15.411,6 Jun 2025 18:34:21.132,1085.721
Satellite113-Satellite142,6 Jun 2025 19:14:15.969,6 Jun 2025 19:32:21.688,1085.719
Satellite113-Satellite142,6 Jun 2025 20:12:16.524,6 Jun 2025 20:30:22.239,1085.715
Satellite113-Satellite142,6 Jun 2025 21:10:17.075,6 Jun 2025 21:28:22.796,1085.721
Satellite113-Satellite142,6 Jun 2025 22:08:17.630,6 Jun 2025 22:26:23.352,1085.722
Satellite113-Satellite142,6 Jun 2025 23:06:18.186,6 Jun 2025 23:24:23.910,1085.724
Satellite113-Satellite142,7 Jun 2025 00:04:18.741,7 Jun 2025 00:22:24.461,1085.72
Satellite113-Satellite142,7 Jun 2025 01:02:19.297,7 Jun 2025 01:20:25.020,1085.723
Satellite113-Satellite142,7 Jun 2025 02:00:19.857,7 Jun 2025 02:18:25.576,1085.719
Satellite113-Satellite142,7 Jun 2025 02:58:20.408,7 Jun 2025 03:16:26.132,1085.724
Satellite113-Satellite142,7 Jun 2025 03:56:20.966,7 Jun 2025 04:00:00.000,219.034
Satellite113-Satellite143,6 Jun 2025 04:34:27.535,6 Jun 2025 04:52:33.263,1085.728
Satellite113-Satellite143,6 Jun 2025 05:32:28.091,6 Jun 2025 05:50:33.823,1085.732
Satellite113-Satellite143,6 Jun 2025 06:30:28.646,6 Jun 2025 06:48:34.378,1085.732
Satellite113-Satellite143,6 Jun 2025 07:28:29.202,6 Jun 2025 07:46:34.933,1085.731
Satellite113-Satellite143,6 Jun 2025 08:26:29.760,6 Jun 2025 08:44:35.489,1085.729
Satellite113-Satellite143,6 Jun 2025 09:24:30.316,6 Jun 2025 09:42:36.044,1085.728
Satellite113-Satellite143,6 Jun 2025 10:22:30.873,6 Jun 2025 10:40:36.595,1085.722
Satellite113-Satellite143,6 Jun 2025 11:20:31.428,6 Jun 2025 11:38:37.152,1085.724
Satellite113-Satellite143,6 Jun 2025 12:18:31.979,6 Jun 2025 12:36:37.708,1085.729
Satellite113-Satellite143,6 Jun 2025 13:16:32.534,6 Jun 2025 13:34:38.266,1085.732
Satellite113-Satellite143,6 Jun 2025 14:14:33.090,6 Jun 2025 14:32:38.817,1085.727
Satellite113-Satellite143,6 Jun 2025 15:12:33.645,6 Jun 2025 15:30:39.375,1085.73
Satellite113-Satellite143,6 Jun 2025 16:10:34.205,6 Jun 2025 16:28:39.933,1085.728
Satellite113-Satellite143,6 Jun 2025 17:08:34.757,6 Jun 2025 17:26:40.488,1085.731
Satellite113-Satellite143,6 Jun 2025 18:06:35.314,6 Jun 2025 18:24:41.044,1085.73
Satellite113-Satellite143,6 Jun 2025 19:04:35.872,6 Jun 2025 19:22:41.599,1085.727
Satellite113-Satellite143,6 Jun 2025 20:02:36.427,6 Jun 2025 20:20:42.155,1085.728
Satellite113-Satellite143,6 Jun 2025 21:00:36.983,6 Jun 2025 21:18:42.705,1085.722
Satellite113-Satellite143,6 Jun 2025 21:58:37.534,6 Jun 2025 22:16:43.263,1085.729
Satellite113-Satellite143,6 Jun 2025 22:56:38.089,6 Jun 2025 23:14:43.819,1085.73
Satellite113-Satellite143,6 Jun 2025 23:54:38.645,7 Jun 2025 00:12:44.377,1085.732
Satellite113-Satellite143,7 Jun 2025 00:52:39.200,7 Jun 2025 01:10:44.928,1085.728
Satellite113-Satellite143,7 Jun 2025 01:50:39.756,7 Jun 2025 02:08:45.486,1085.73
Satellite113-Satellite143,7 Jun 2025 02:48:40.315,7 Jun 2025 03:06:46.043,1085.728
Satellite113-Satellite143,7 Jun 2025 03:46:40.867,7 Jun 2025 04:00:00.000,799.133
Satellite113-Satellite144,6 Jun 2025 04:22:52.438,6 Jun 2025 04:44:48.177,1315.739
Satellite113-Satellite144,6 Jun 2025 05:20:52.993,6 Jun 2025 05:42:48.734,1315.741
Satellite113-Satellite144,6 Jun 2025 06:18:53.549,6 Jun 2025 06:40:49.290,1315.741
Satellite113-Satellite144,6 Jun 2025 07:16:54.104,6 Jun 2025 07:38:49.845,1315.741
Satellite113-Satellite144,6 Jun 2025 08:14:54.660,6 Jun 2025 08:36:50.401,1315.741
Satellite113-Satellite144,6 Jun 2025 09:12:55.216,6 Jun 2025 09:34:50.956,1315.74
Satellite113-Satellite144,6 Jun 2025 10:10:55.772,6 Jun 2025 10:32:51.512,1315.74
Satellite113-Satellite144,6 Jun 2025 11:08:56.327,6 Jun 2025 11:30:52.067,1315.74
Satellite113-Satellite144,6 Jun 2025 12:06:56.883,6 Jun 2025 12:28:52.623,1315.74
Satellite113-Satellite144,6 Jun 2025 13:04:57.438,6 Jun 2025 13:26:53.178,1315.74
Satellite113-Satellite144,6 Jun 2025 14:02:57.994,6 Jun 2025 14:24:53.734,1315.74
Satellite113-Satellite144,6 Jun 2025 15:00:58.549,6 Jun 2025 15:22:54.289,1315.74
Satellite113-Satellite144,6 Jun 2025 15:58:59.105,6 Jun 2025 16:20:54.845,1315.74
Satellite113-Satellite144,6 Jun 2025 16:56:59.660,6 Jun 2025 17:18:55.400,1315.74
Satellite113-Satellite144,6 Jun 2025 17:55:00.216,6 Jun 2025 18:16:55.956,1315.74
Satellite113-Satellite144,6 Jun 2025 18:53:00.771,6 Jun 2025 19:14:56.511,1315.74
Satellite113-Satellite144,6 Jun 2025 19:51:01.327,6 Jun 2025 20:12:57.066,1315.739
Satellite113-Satellite144,6 Jun 2025 20:49:01.882,6 Jun 2025 21:10:57.622,1315.74
Satellite113-Satellite144,6 Jun 2025 21:47:02.438,6 Jun 2025 22:08:58.177,1315.739
Satellite113-Satellite144,6 Jun 2025 22:45:02.993,6 Jun 2025 23:06:58.733,1315.74
Satellite113-Satellite144,6 Jun 2025 23:43:03.549,7 Jun 2025 00:04:59.288,1315.739
Satellite113-Satellite144,7 Jun 2025 00:41:04.104,7 Jun 2025 01:02:59.844,1315.74
Satellite113-Satellite144,7 Jun 2025 01:39:04.660,7 Jun 2025 02:01:00.399,1315.739
Satellite113-Satellite144,7 Jun 2025 02:37:05.215,7 Jun 2025 02:59:00.955,1315.74
Satellite113-Satellite144,7 Jun 2025 03:35:05.771,7 Jun 2025 03:57:01.510,1315.739
Satellite113-Satellite145,6 Jun 2025 04:11:25.779,6 Jun 2025 04:36:54.650,1528.871
Satellite113-Satellite145,6 Jun 2025 05:09:26.338,6 Jun 2025 05:34:55.205,1528.867
Satellite113-Satellite145,6 Jun 2025 06:07:26.891,6 Jun 2025 06:32:55.764,1528.873
Satellite113-Satellite145,6 Jun 2025 07:05:27.445,6 Jun 2025 07:30:56.319,1528.874
Satellite113-Satellite145,6 Jun 2025 08:03:28.005,6 Jun 2025 08:28:56.871,1528.866
Satellite113-Satellite145,6 Jun 2025 09:01:28.556,6 Jun 2025 09:26:57.431,1528.875
Satellite113-Satellite145,6 Jun 2025 09:59:29.116,6 Jun 2025 10:24:57.982,1528.866
Satellite113-Satellite145,6 Jun 2025 10:57:29.671,6 Jun 2025 11:22:58.541,1528.87
Satellite113-Satellite145,6 Jun 2025 11:55:30.222,6 Jun 2025 12:20:59.097,1528.875
Satellite113-Satellite145,6 Jun 2025 12:53:30.782,6 Jun 2025 13:18:59.649,1528.867
Satellite113-Satellite145,6 Jun 2025 13:51:31.335,6 Jun 2025 14:17:00.208,1528.873
Satellite113-Satellite145,6 Jun 2025 14:49:31.893,6 Jun 2025 15:15:00.759,1528.866
Satellite113-Satellite145,6 Jun 2025 15:47:32.449,6 Jun 2025 16:13:01.319,1528.87
Satellite113-Satellite145,6 Jun 2025 16:45:33.000,6 Jun 2025 17:11:01.875,1528.875
Satellite113-Satellite145,6 Jun 2025 17:43:33.559,6 Jun 2025 18:09:02.426,1528.867
Satellite113-Satellite145,6 Jun 2025 18:41:34.113,6 Jun 2025 19:07:02.986,1528.873
Satellite113-Satellite145,6 Jun 2025 19:39:34.670,6 Jun 2025 20:05:03.537,1528.867
Satellite113-Satellite145,6 Jun 2025 20:37:35.226,6 Jun 2025 21:03:04.096,1528.87
Satellite113-Satellite145,6 Jun 2025 21:35:35.777,6 Jun 2025 22:01:04.652,1528.875
Satellite113-Satellite145,6 Jun 2025 22:33:36.337,6 Jun 2025 22:59:05.203,1528.866
Satellite113-Satellite145,6 Jun 2025 23:31:36.890,6 Jun 2025 23:57:05.763,1528.873
Satellite113-Satellite145,7 Jun 2025 00:29:37.448,7 Jun 2025 00:55:06.314,1528.866
Satellite113-Satellite145,7 Jun 2025 01:27:38.004,7 Jun 2025 01:53:06.873,1528.869
Satellite113-Satellite145,7 Jun 2025 02:25:38.555,7 Jun 2025 02:51:07.429,1528.874
Satellite113-Satellite145,7 Jun 2025 03:23:39.114,7 Jun 2025 03:49:07.981,1528.867
Satellite113-Satellite146,6 Jun 2025 04:01:45.694,6 Jun 2025 04:27:14.553,1528.859
Satellite113-Satellite146,6 Jun 2025 04:59:46.245,6 Jun 2025 05:25:15.113,1528.868
Satellite113-Satellite146,6 Jun 2025 05:57:46.804,6 Jun 2025 06:23:15.664,1528.86
Satellite113-Satellite146,6 Jun 2025 06:55:47.358,6 Jun 2025 07:21:16.224,1528.866
Satellite113-Satellite146,6 Jun 2025 07:53:47.911,6 Jun 2025 08:19:16.779,1528.868
Satellite113-Satellite146,6 Jun 2025 08:51:48.471,6 Jun 2025 09:17:17.331,1528.86
Satellite113-Satellite146,6 Jun 2025 09:49:49.022,6 Jun 2025 10:15:17.890,1528.868
Satellite113-Satellite146,6 Jun 2025 10:47:49.582,6 Jun 2025 11:13:18.441,1528.859
Satellite113-Satellite146,6 Jun 2025 11:45:50.137,6 Jun 2025 12:11:19.001,1528.864
Satellite113-Satellite146,6 Jun 2025 12:43:50.689,6 Jun 2025 13:09:19.557,1528.868
Satellite113-Satellite146,6 Jun 2025 13:41:51.248,6 Jun 2025 14:07:20.108,1528.86
Satellite113-Satellite146,6 Jun 2025 14:39:51.801,6 Jun 2025 15:05:20.668,1528.867
Satellite113-Satellite146,6 Jun 2025 15:37:52.359,6 Jun 2025 16:03:21.219,1528.86
Satellite113-Satellite146,6 Jun 2025 16:35:52.915,6 Jun 2025 17:01:21.778,1528.863
Satellite113-Satellite146,6 Jun 2025 17:33:53.466,6 Jun 2025 17:59:22.334,1528.868
Satellite113-Satellite146,6 Jun 2025 18:31:54.026,6 Jun 2025 18:57:22.885,1528.859
Satellite113-Satellite146,6 Jun 2025 19:29:54.579,6 Jun 2025 19:55:23.445,1528.866
Satellite113-Satellite146,6 Jun 2025 20:27:55.137,6 Jun 2025 20:53:23.996,1528.859
Satellite113-Satellite146,6 Jun 2025 21:25:55.693,6 Jun 2025 21:51:24.556,1528.863
Satellite113-Satellite146,6 Jun 2025 22:23:56.243,6 Jun 2025 22:49:25.111,1528.868
Satellite113-Satellite146,6 Jun 2025 23:21:56.803,6 Jun 2025 23:47:25.663,1528.86
Satellite113-Satellite146,7 Jun 2025 00:19:57.357,7 Jun 2025 00:45:26.222,1528.865
Satellite113-Satellite146,7 Jun 2025 01:17:57.914,7 Jun 2025 01:43:26.774,1528.86
Satellite113-Satellite146,7 Jun 2025 02:15:58.470,7 Jun 2025 02:41:27.333,1528.863
Satellite113-Satellite146,7 Jun 2025 03:13:59.021,7 Jun 2025 03:39:27.889,1528.868
Satellite113-Satellite152,6 Jun 2025 04:00:00.000,6 Jun 2025 04:03:02.006,182.006
Satellite113-Satellite152,6 Jun 2025 04:42:05.062,6 Jun 2025 05:01:02.562,1137.5
Satellite113-Satellite152,6 Jun 2025 05:40:05.617,6 Jun 2025 05:59:03.121,1137.504
Satellite113-Satellite152,6 Jun 2025 06:38:06.168,6 Jun 2025 06:57:03.672,1137.504
Satellite113-Satellite152,6 Jun 2025 07:36:06.728,6 Jun 2025 07:55:04.232,1137.504
Satellite113-Satellite152,6 Jun 2025 08:34:07.279,6 Jun 2025 08:53:04.788,1137.509
Satellite113-Satellite152,6 Jun 2025 09:32:07.835,6 Jun 2025 09:51:05.339,1137.504
Satellite113-Satellite152,6 Jun 2025 10:30:08.395,6 Jun 2025 10:49:05.894,1137.499
Satellite113-Satellite152,6 Jun 2025 11:28:08.946,6 Jun 2025 11:47:06.454,1137.508
Satellite113-Satellite152,6 Jun 2025 12:26:09.501,6 Jun 2025 12:45:07.005,1137.504
Satellite113-Satellite152,6 Jun 2025 13:24:10.061,6 Jun 2025 13:43:07.561,1137.5
Satellite113-Satellite152,6 Jun 2025 14:22:10.612,6 Jun 2025 14:41:08.116,1137.504
Satellite113-Satellite152,6 Jun 2025 15:20:11.172,6 Jun 2025 15:39:08.676,1137.504
Satellite113-Satellite152,6 Jun 2025 16:18:11.723,6 Jun 2025 16:37:09.227,1137.504
Satellite113-Satellite152,6 Jun 2025 17:16:12.283,6 Jun 2025 17:35:09.784,1137.501
Satellite113-Satellite152,6 Jun 2025 18:14:12.834,6 Jun 2025 18:33:10.343,1137.509
Satellite113-Satellite152,6 Jun 2025 19:12:13.389,6 Jun 2025 19:31:10.893,1137.504
Satellite113-Satellite152,6 Jun 2025 20:10:13.949,6 Jun 2025 20:29:11.453,1137.504
Satellite113-Satellite152,6 Jun 2025 21:08:14.500,6 Jun 2025 21:27:12.009,1137.509
Satellite113-Satellite152,6 Jun 2025 22:06:15.056,6 Jun 2025 22:25:12.560,1137.504
Satellite113-Satellite152,6 Jun 2025 23:04:15.616,6 Jun 2025 23:23:13.115,1137.499
Satellite113-Satellite152,7 Jun 2025 00:02:16.167,7 Jun 2025 00:21:13.675,1137.508
Satellite113-Satellite152,7 Jun 2025 01:00:16.722,7 Jun 2025 01:19:14.226,1137.504
Satellite113-Satellite152,7 Jun 2025 01:58:17.282,7 Jun 2025 02:17:14.783,1137.501
Satellite113-Satellite152,7 Jun 2025 02:56:17.833,7 Jun 2025 03:15:15.337,1137.504
Satellite113-Satellite152,7 Jun 2025 03:54:18.393,7 Jun 2025 04:00:00.000,341.607
Satellite113-Satellite153,6 Jun 2025 04:27:07.397,6 Jun 2025 04:56:40.041,1772.644
Satellite113-Satellite153,6 Jun 2025 05:25:07.950,6 Jun 2025 05:54:40.600,1772.65
Satellite113-Satellite153,6 Jun 2025 06:23:08.505,6 Jun 2025 06:52:41.155,1772.65
Satellite113-Satellite153,6 Jun 2025 07:21:09.060,6 Jun 2025 07:50:41.711,1772.651
Satellite113-Satellite153,6 Jun 2025 08:19:09.616,6 Jun 2025 08:48:42.266,1772.65
Satellite113-Satellite153,6 Jun 2025 09:17:10.171,6 Jun 2025 09:46:42.822,1772.651
Satellite113-Satellite153,6 Jun 2025 10:15:10.727,6 Jun 2025 10:44:43.377,1772.65
Satellite113-Satellite153,6 Jun 2025 11:13:11.282,6 Jun 2025 11:42:43.933,1772.651
Satellite113-Satellite153,6 Jun 2025 12:11:11.838,6 Jun 2025 12:40:44.488,1772.65
Satellite113-Satellite153,6 Jun 2025 13:09:12.393,6 Jun 2025 13:38:45.043,1772.65
Satellite113-Satellite153,6 Jun 2025 14:07:12.949,6 Jun 2025 14:36:45.599,1772.65
Satellite113-Satellite153,6 Jun 2025 15:05:13.504,6 Jun 2025 15:34:46.154,1772.65
Satellite113-Satellite153,6 Jun 2025 16:03:14.059,6 Jun 2025 16:32:46.710,1772.651
